REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
sba/car_sGain6_nGain-16.25_SNR23.9978_beta3/s.wav	 sba/car_sGain6_nGain-16.25_SNR23.9978_beta3/west.wav	 3.515	 3.574	 16000	nb
sba/car_sGain6_nGain-16.25_SNR23.9978_beta3/s.wav	 sba/car_sGain6_nGain-16.25_SNR23.9978_beta3/prop.wav	 3.572	 3.652	 16000	nb
sba/car_sGain6_nGain-16.25_SNR23.9978_beta6/s.wav	 sba/car_sGain6_nGain-16.25_SNR23.9978_beta6/west.wav	 3.536	 3.604	 16000	nb
sba/car_sGain6_nGain-16.25_SNR23.9978_beta6/s.wav	 sba/car_sGain6_nGain-16.25_SNR23.9978_beta6/prop.wav	 3.573	 3.653	 16000	nb
sba/car_sGain6_nGain-16.25_SNR23.9978_beta9/s.wav	 sba/car_sGain6_nGain-16.25_SNR23.9978_beta9/west.wav	 3.557	 3.631	 16000	nb
sba/car_sGain6_nGain-16.25_SNR23.9978_beta9/s.wav	 sba/car_sGain6_nGain-16.25_SNR23.9978_beta9/prop.wav	 3.573	 3.654	 16000	nb
Computer fan
sba/comp_sGain6_nGain5.69_SNR-0.002267_beta1/s.wav	 sba/comp_sGain6_nGain5.69_SNR-0.002267_beta1/sn.wav	 2.694	 2.385	 16000	nb
sba/comp_sGain6_nGain5.69_SNR-0.002267_beta1/s.wav	 sba/comp_sGain6_nGain5.69_SNR-0.002267_beta1/west.wav	 2.853	 2.607	 16000	nb
sba/comp_sGain6_nGain5.69_SNR-0.002267_beta1/s.wav	 sba/comp_sGain6_nGain5.69_SNR-0.002267_beta1/prop.wav	 2.814	 2.551	 16000	nb
sba/comp_sGain6_nGain5.69_SNR-0.002267_beta3/s.wav	 sba/comp_sGain6_nGain5.69_SNR-0.002267_beta3/west.wav	 2.859	 2.615	 16000	nb
sba/comp_sGain6_nGain5.69_SNR-0.002267_beta3/s.wav	 sba/comp_sGain6_nGain5.69_SNR-0.002267_beta3/prop.wav	 2.819	 2.558	 16000	nb
sba/comp_sGain6_nGain5.69_SNR-0.002267_beta6/s.wav	 sba/comp_sGain6_nGain5.69_SNR-0.002267_beta6/west.wav	 2.844	 2.595	 16000	nb
sba/comp_sGain6_nGain5.69_SNR-0.002267_beta6/s.wav	 sba/comp_sGain6_nGain5.69_SNR-0.002267_beta6/prop.wav	 2.818	 2.557	 16000	nb
sba/comp_sGain6_nGain5.69_SNR-0.002267_beta9/s.wav	 sba/comp_sGain6_nGain5.69_SNR-0.002267_beta9/west.wav	 2.832	 2.577	 16000	nb
sba/comp_sGain6_nGain5.69_SNR-0.002267_beta9/s.wav	 sba/comp_sGain6_nGain5.69_SNR-0.002267_beta9/prop.wav	 2.812	 2.549	 16000	nb
sba/comp_sGain6_nGain-0.31_SNR5.9977_beta1/s.wav	 sba/comp_sGain6_nGain-0.31_SNR5.9977_beta1/sn.wav	 2.957	 2.759	 16000	nb
sba/comp_sGain6_nGain-0.31_SNR5.9977_beta1/s.wav	 sba/comp_sGain6_nGain-0.31_SNR5.9977_beta1/west.wav	 3.060	 2.911	 16000	nb
sba/comp_sGain6_nGain-0.31_SNR5.9977_beta1/s.wav	 sba/comp_sGain6_nGain-0.31_SNR5.9977_beta1/prop.wav	 3.079	 2.940	 16000	nb
sba/comp_sGain6_nGain-0.31_SNR5.9977_beta3/s.wav	 sba/comp_sGain6_nGain-0.31_SNR5.9977_beta3/west.wav	 3.076	 2.935	 16000	nb
sba/comp_sGain6_nGain-0.31_SNR5.9977_beta3/s.wav	 sba/comp_sGain6_nGain-0.31_SNR5.9977_beta3/prop.wav	 3.087	 2.952	 16000	nb
sba/comp_sGain6_nGain-0.31_SNR5.9977_beta6/s.wav	 sba/comp_sGain6_nGain-0.31_SNR5.9977_beta6/west.wav	 3.075	 2.933	 16000	nb
sba/comp_sGain6_nGain-0.31_SNR5.9977_beta6/s.wav	 sba/comp_sGain6_nGain-0.31_SNR5.9977_beta6/prop.wav	 3.086	 2.950	 16000	nb
sba/comp_sGain6_nGain-0.31_SNR5.9977_beta9/s.wav	 sba/comp_sGain6_nGain-0.31_SNR5.9977_beta9/west.wav	 3.068	 2.924	 16000	nb
sba/comp_sGain6_nGain-0.31_SNR5.9977_beta9/s.wav	 sba/comp_sGain6_nGain-0.31_SNR5.9977_beta9/prop.wav	 3.082	 2.945	 16000	nb
sba/comp_sGain6_nGain-6.31_SNR11.9977_beta1/s.wav	 sba/comp_sGain6_nGain-6.31_SNR11.9977_beta1/sn.wav	 3.204	 3.126	 16000	nb
sba/comp_sGain6_nGain-6.31_SNR11.9977_beta1/s.wav	 sba/comp_sGain6_nGain-6.31_SNR11.9977_beta1/west.wav	 3.283	 3.243	 16000	nb
sba/comp_sGain6_nGain-6.31_SNR11.9977_beta1/s.wav	 sba/comp_sGain6_nGain-6.31_SNR11.9977_beta1/prop.wav	 3.385	 3.393	 16000	nb
sba/comp_sGain6_nGain-6.31_SNR11.9977_beta3/s.wav	 sba/comp_sGain6_nGain-6.31_SNR11.9977_beta3/west.wav	 3.302	 3.271	 16000	nb
sba/comp_sGain6_nGain-6.31_SNR11.9977_beta3/s.wav	 sba/comp_sGain6_nGain-6.31_SNR11.9977_beta3/prop.wav	 3.389	 3.397	 16000	nb
sba/comp_sGain6_nGain-6.31_SNR11.9977_beta6/s.wav	 sba/comp_sGain6_nGain-6.31_SNR11.9977_beta6/west.wav	 3.320	 3.298	 16000	nb
sba/comp_sGain6_nGain-6.31_SNR11.9977_beta6/s.wav	 sba/comp_sGain6_nGain-6.31_SNR11.9977_beta6/prop.wav	 3.391	 3.401	 16000	nb
sba/comp_sGain6_nGain-6.31_SNR11.9977_beta9/s.wav	 sba/comp_sGain6_nGain-6.31_SNR11.9977_beta9/west.wav	 3.313	 3.288	 16000	nb
sba/comp_sGain6_nGain-6.31_SNR11.9977_beta9/s.wav	 sba/comp_sGain6_nGain-6.31_SNR11.9977_beta9/prop.wav	 3.391	 3.401	 16000	nb
sba/comp_sGain6_nGain-12.31_SNR17.9977_beta1/s.wav	 sba/comp_sGain6_nGain-12.31_SNR17.9977_beta1/sn.wav	 3.419	 3.441	 16000	nb
sba/comp_sGain6_nGain-12.31_SNR17.9977_beta1/s.wav	 sba/comp_sGain6_nGain-12.31_SNR17.9977_beta1/west.wav	 3.553	 3.626	 16000	nb
sba/comp_sGain6_nGain-12.31_SNR17.9977_beta1/s.wav	 sba/comp_sGain6_nGain-12.31_SNR17.9977_beta1/prop.wav	 3.682	 3.795	 16000	nb
sba/comp_sGain6_nGain-12.31_SNR17.9977_beta3/s.wav	 sba/comp_sGain6_nGain-12.31_SNR17.9977_beta3/west.wav	 3.571	 3.651	 16000	nb
sba/comp_sGain6_nGain-12.31_SNR17.9977_beta3/s.wav	 sba/comp_sGain6_nGain-12.31_SNR17.9977_beta3/prop.wav	 3.671	 3.781	 16000	nb
sba/comp_sGain6_nGain-12.31_SNR17.9977_beta6/s.wav	 sba/comp_sGain6_nGain-12.31_SNR17.9977_beta6/west.wav	 3.589	 3.674	 16000	nb
sba/comp_sGain6_nGain-12.31_SNR17.9977_beta6/s.wav	 sba/comp_sGain6_nGain-12.31_SNR17.9977_beta6/prop.wav	 3.672	 3.782	 16000	nb
sba/comp_sGain6_nGain-12.31_SNR17.9977_beta9/s.wav	 sba/comp_sGain6_nGain-12.31_SNR17.9977_beta9/west.wav	 3.597	 3.686	 16000	nb
sba/comp_sGain6_nGain-12.31_SNR17.9977_beta9/s.wav	 sba/comp_sGain6_nGain-12.31_SNR17.9977_beta9/prop.wav	 3.673	 3.784	 16000	nb
sba/comp_sGain6_nGain-18.31_SNR23.9977_beta1/s.wav	 sba/comp_sGain6_nGain-18.31_SNR23.9977_beta1/sn.wav	 3.643	 3.745	 16000	nb
sba/comp_sGain6_nGain-18.31_SNR23.9977_beta1/s.wav	 sba/comp_sGain6_nGain-18.31_SNR23.9977_beta1/west.wav	 3.922	 4.073	 16000	nb
sba/comp_sGain6_nGain-18.31_SNR23.9977_beta1/s.wav	 sba/comp_sGain6_nGain-18.31_SNR23.9977_beta1/prop.wav	 3.995	 4.148	 16000	nb
sba/comp_sGain6_nGain-18.31_SNR23.9977_beta3/s.wav	 sba/comp_sGain6_nGain-18.31_SNR23.9977_beta3/west.wav	 3.942	 4.095	 16000	nb
sba/comp_sGain6_nGain-18.31_SNR23.9977_beta3/s.wav	 sba/comp_sGain6_nGain-18.31_SNR23.9977_beta3/prop.wav	 3.996	 4.150	 16000	nb
sba/comp_sGain6_nGain-18.31_SNR23.9977_beta6/s.wav	 sba/comp_sGain6_nGain-18.31_SNR23.9977_beta6/west.wav	 3.957	 4.110	 16000	nb
